C0,DE,T2,label
imagesTr/myops_training_113_C0.nii.gz,imagesTr/myops_training_113_DE.nii.gz,imagesTr/myops_training_113_T2.nii.gz,labelsTr/myops_training_113_gd.nii.gz
imagesTr/myops_training_103_C0.nii.gz,imagesTr/myops_training_103_DE.nii.gz,imagesTr/myops_training_103_T2.nii.gz,labelsTr/myops_training_103_gd.nii.gz
imagesTr/myops_training_118_C0.nii.gz,imagesTr/myops_training_118_DE.nii.gz,imagesTr/myops_training_118_T2.nii.gz,labelsTr/myops_training_118_gd.nii.gz
imagesTr/myops_training_101_C0.nii.gz,imagesTr/myops_training_101_DE.nii.gz,imagesTr/myops_training_101_T2.nii.gz,labelsTr/myops_training_101_gd.nii.gz
imagesTr/myops_training_122_C0.nii.gz,imagesTr/myops_training_122_DE.nii.gz,imagesTr/myops_training_122_T2.nii.gz,labelsTr/myops_training_122_gd.nii.gz
imagesTr/myops_training_102_C0.nii.gz,imagesTr/myops_training_102_DE.nii.gz,imagesTr/myops_training_102_T2.nii.gz,labelsTr/myops_training_102_gd.nii.gz
imagesTr/myops_training_123_C0.nii.gz,imagesTr/myops_training_123_DE.nii.gz,imagesTr/myops_training_123_T2.nii.gz,labelsTr/myops_training_123_gd.nii.gz
imagesTr/myops_training_107_C0.nii.gz,imagesTr/myops_training_107_DE.nii.gz,imagesTr/myops_training_107_T2.nii.gz,labelsTr/myops_training_107_gd.nii.gz
imagesTr/myops_training_112_C0.nii.gz,imagesTr/myops_training_112_DE.nii.gz,imagesTr/myops_training_112_T2.nii.gz,labelsTr/myops_training_112_gd.nii.gz
imagesTr/myops_training_117_C0.nii.gz,imagesTr/myops_training_117_DE.nii.gz,imagesTr/myops_training_117_T2.nii.gz,labelsTr/myops_training_117_gd.nii.gz
imagesTr/myops_training_120_C0.nii.gz,imagesTr/myops_training_120_DE.nii.gz,imagesTr/myops_training_120_T2.nii.gz,labelsTr/myops_training_120_gd.nii.gz
imagesTr/myops_training_114_C0.nii.gz,imagesTr/myops_training_114_DE.nii.gz,imagesTr/myops_training_114_T2.nii.gz,labelsTr/myops_training_114_gd.nii.gz
imagesTr/myops_training_110_C0.nii.gz,imagesTr/myops_training_110_DE.nii.gz,imagesTr/myops_training_110_T2.nii.gz,labelsTr/myops_training_110_gd.nii.gz
imagesTr/myops_training_111_C0.nii.gz,imagesTr/myops_training_111_DE.nii.gz,imagesTr/myops_training_111_T2.nii.gz,labelsTr/myops_training_111_gd.nii.gz
imagesTr/myops_training_121_C0.nii.gz,imagesTr/myops_training_121_DE.nii.gz,imagesTr/myops_training_121_T2.nii.gz,labelsTr/myops_training_121_gd.nii.gz
imagesTr/myops_training_124_C0.nii.gz,imagesTr/myops_training_124_DE.nii.gz,imagesTr/myops_training_124_T2.nii.gz,labelsTr/myops_training_124_gd.nii.gz
imagesTr/myops_training_106_C0.nii.gz,imagesTr/myops_training_106_DE.nii.gz,imagesTr/myops_training_106_T2.nii.gz,labelsTr/myops_training_106_gd.nii.gz
imagesTr/myops_training_116_C0.nii.gz,imagesTr/myops_training_116_DE.nii.gz,imagesTr/myops_training_116_T2.nii.gz,labelsTr/myops_training_116_gd.nii.gz
imagesTr/myops_training_108_C0.nii.gz,imagesTr/myops_training_108_DE.nii.gz,imagesTr/myops_training_108_T2.nii.gz,labelsTr/myops_training_108_gd.nii.gz
imagesTr/myops_training_105_C0.nii.gz,imagesTr/myops_training_105_DE.nii.gz,imagesTr/myops_training_105_T2.nii.gz,labelsTr/myops_training_105_gd.nii.gz
